yr_arrvl_of_prsns_brn_ovrss_cnss_arrvd_wthn_5_yrs_pc, age_of_persons_born_overseas_census_5_9_years_num, lbr_frce_stts_prsns_brn_ovrss_cnss_ttl_ppltn_agd_15_yrs_nm, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_indqtly_dscrb_std_pc, age_of_persons_born_overseas_census_10_14_years_num, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ernng_nl_pc, population_of_persons_born_overseas_census_males_num, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_erng_1000_1999_pr_wk_pc, lbr_frce_stts_prsns_brn_ovrss_cnss_prtcptn_rte_pc, age_of_persons_born_overseas_census_35_39_years_num, age_of_persons_born_overseas_census_45_49_years_num, occupation_of_persons_born_overseas_census_managers_pc, yr_arrvl_of_prsns_brn_ovrss_cnss_arrvd_10_yrs_ago_pc, rlgs_affltn_prsns_brn_ovrss_cnss_sprtl_blfs_pc, age_of_persons_born_overseas_census_80_84_years_num, lbr_frce_stts_prsns_brn_ovrss_cnss_unmplymnt_rte_pc, age_of_persons_born_overseas_census_25_29_years_num, rlgs_affltn_prsns_brn_ovrss_cnss_chrstnty_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_bchlr_dgre_pc, englsh_prfcncy_prsns_brn_ovrss_cnss_prfcnt_pc, age_of_persons_born_overseas_census_40_44_years_num, lv_hgst_edctnl_atnm_of_prsn_brn_ovrs_cns_grdte_dplma_crtfe_pc, occupation_of_persons_born_overseas_census_labourers_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_schl_edctn_pc, occptn_prsns_brn_ovrss_cnss_mchnry_oprtrs_drvrs_pc, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ernng_1_499_pr_wk_pc, age_of_persons_born_overseas_census_75_79_years_num, lv_hgst_edctnl_atnm_of_prsn_brn_ovrs_cns_pstgrde_dgre_pc, age_of_persons_born_overseas_census_85_years_and_over_num, age_of_persons_born_overseas_census_60_64_years_num, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ngtve_pc, religious_affiliation_persons_born_overseas_census_judaism_pc, occptn_prsns_brn_ovrss_cnss_tchncns_trds_wrkrs_pc, ctznshp_st_prsn_brn_ovrs_cns_astrln_ctzn_pc, occupation_of_persons_born_overseas_census_professionals_pc, religious_affiliation_of_persons_born_overseas_census_islam_pc, age_of_persons_born_overseas_census_65_69_years_num, sa3_name_2016, year_arrival_of_persons_born_overseas_census_arrival_stated_pc, religious_affiliation_persons_born_overseas_census_buddhism_pc, citizenship_status_persons_born_overseas_census_stated_pc, age_of_persons_born_overseas_census_30_34_years_num, religious_affiliation_persons_born_overseas_census_religion_pc, labour_force_status_persons_born_overseas_census_employed_num, religious_affiliation_persons_born_overseas_census_hinduism_pc, age_of_persons_born_overseas_census_15_19_years_num, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_erng_2000_2999_pr_wk_pc, english_proficiency_persons_born_overseas_census_proficient_pc, age_of_persons_born_overseas_census_70_74_years_num, rlgs_affltn_prsns_brn_ovrss_cnss_rlgn_sclr_blfs_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_edctn_sttd_pc, occptn_prsns_brn_ovrss_cnss_indqtly_dscrbd_sttd_pc, age_of_persons_born_overseas_census_55_59_years_num, ttl_prsnl_incme_wkly_prsns_brn_ovrss_cnss_ernng_3000_pr_wk_pc, lvl_hghst_edctnl_attnmnt_of_prsns_brn_ovrss_cnss_crtfcte_pc, occptn_prsns_brn_ovrss_cnss_clrcl_admnstrtve_wrkrs_pc, labour_force_status_persons_born_overseas_census_stated_pc, age_of_persons_born_overseas_census_0_4_years_num, age_of_persons_born_overseas_census_50_54_years_num, age_of_persons_born_overseas_census_20_24_years_num, occptn_prsns_brn_ovrss_cnss_cmmnty_prsnl_srvce_wrkrs_pc, population_of_persons_born_overseas_census_females_num, yr_arrvl_of_prsns_brn_ovrss_cnss_arrvd_5_10_yrs_ago_pc, labour_force_status_persons_born_overseas_census_num, english_proficiency_persons_born_overseas_census_stated_pc, lv_hgst_edctnl_atnm_of_prsn_brn_ovrs_cns_advnc_dplma_pc, occupation_of_persons_born_overseas_census_sales_workers_pc, population_of_persons_born_overseas_census_persons_num, yr, labour_force_status_persons_born_overseas_census_unemployed_num, labour_force_status_persons_born_overseas_census_pc, tl_prsnl_incme_wkly_prsn_brn_ovrs_cns_erng_500_999_pr_wk_pc, ctznshp_stts_prsns_brn_ovrss_cnss_astrln_ctzn_pc, sa3_code_2016, rlgs_affltn_prsns_brn_ovrss_cnss_indqtly_dscrbd_sttd_pc
9.0,235,10922,3.2,312,8.3,5504,21.5,53.8,778,906,11.9,76.0,0.2,468,6.1,470,59.7,16.5,3.8,852,1.7,9.1,33.3,4.2,33.7,716,6.5,518,922,0.5,0.1,13.0,29.2,30.1,1.4,1233,"Lake Macquarie - East",3.7,3.9,2.1,648,0.9,5519,2.5,314,5.3,95.3,893,26.9,6.0,1.6,928,3.9,16.2,12.5,1.5,85,991,284,11.4,6043,11.3,5877,1.0,9.6,6.3,11546,2016,358,44.6,23.7,68.7,"11101",4.1
7.6,123,7527,4.7,176,8.3,3741,19.4,48.7,484,555,11.0,77.4,0.3,374,6.0,277,64.3,15.0,2.8,471,1.5,10.8,33.4,6.5,36.1,551,6.2,398,657,0.4,0.1,13.1,31.2,26.2,2.2,889,"Lake Macquarie - West",4.7,3.1,2.2,454,0.6,3446,2.1,180,3.6,96.3,733,22.3,7.2,1.4,631,2.6,17.2,12.0,2.2,42,644,218,11.8,4136,10.4,3667,1.0,10.4,7.1,7871,2016,221,49.1,24.9,66.7,"11102",4.7
23.2,623,20900,3.4,602,13.0,10918,20.2,55.1,1832,1542,10.4,58.6,0.2,671,9.4,2051,49.1,19.5,8.9,1560,1.8,10.6,33.3,4.0,31.9,919,10.6,717,1290,0.7,0.2,10.8,42.4,34.7,6.7,1396,"Newcastle",4.6,4.5,1.8,2094,1.0,10447,3.8,778,5.1,89.8,1125,29.8,4.9,1.3,1464,3.6,10.7,9.7,2.1,321,1459,2009,12.1,11525,13.6,11525,1.3,8.0,6.4,22438,2016,1078,42.8,22.0,55.9,"11103",4.2
10.5,180,10003,3.6,260,5.8,4970,18.8,59.3,820,914,15.7,73.8,0.9,297,5.8,443,37.4,20.8,1.2,867,2.4,10.7,28.1,2.8,34.4,480,6.8,363,994,0.4,1.4,13.7,33.4,27.5,0.5,1046,"Richmond Valley - Coastal",4.6,4.1,1.5,658,1.7,5591,0.8,228,3.4,98.0,698,47.3,5.5,1.8,957,3.0,15.1,9.2,1.4,80,995,249,12.5,5551,11.1,5936,0.8,12.2,6.3,10526,2016,345,39.3,30.6,65.0,"11201",5.0
7.7,88,5626,3.3,104,7.3,2797,14.9,51.3,376,449,13.1,78.8,0.7,177,8.6,180,45.1,17.8,2.8,384,2.1,14.9,33.6,3.9,43.2,289,5.7,207,662,0.8,0.3,9.9,31.7,26.4,1.3,672,"Richmond Valley - Hinterland",3.9,3.9,1.4,289,2.1,2638,1.3,140,2.3,96.5,446,39.0,5.1,1.6,624,1.8,16.2,10.0,1.3,42,565,160,14.1,3069,9.6,2885,0.7,11.2,6.2,5865,2016,247,47.5,26.4,66.9,"11202",5.1
7.7,223,12742,5.0,280,6.2,6276,16.2,46.0,798,941,12.5,77.3,0.5,810,6.7,414,56.2,12.9,1.9,873,1.5,12.0,37.8,4.5,42.0,1082,3.5,767,1090,0.4,0.3,14.8,33.1,21.1,0.5,1376,"Tweed Valley",4.8,2.7,1.6,656,1.5,5474,2.0,278,2.3,97.4,1244,31.4,7.7,1.4,1091,1.7,17.4,10.4,2.1,82,1049,269,14.5,7055,10.2,5866,0.7,10.5,8.4,13330,2016,392,51.8,26.1,65.3,"11203",4.4
22.2,138,5975,6.5,216,10.6,3261,16.4,58.1,466,426,16.9,53.9,0.1,270,7.1,644,55.5,11.2,17.5,443,1.0,37.3,46.0,5.8,29.5,313,3.4,294,343,0.9,0.1,9.6,45.9,11.8,7.2,410,"Griffith - Murrumbidgee (West)",6.9,2.0,1.9,627,10.1,3224,7.3,220,2.3,81.5,324,14.2,8.4,2.3,366,1.8,9.4,5.4,3.3,66,432,386,6.9,3128,16.8,3471,0.9,6.9,4.1,6396,2016,247,38.6,32.1,52.0,"11301",3.1
13.1,23,1157,7.9,29,8.1,609,17.5,53.6,83,81,18.0,66.3,0.2,35,6.1,82,59.7,14.5,5.4,88,2.0,22.7,33.2,10.1,37.0,79,3.1,47,111,0.3,null,11.2,38.0,15.6,1.2,105,"Tumut - Tumbarumba",8.1,2.9,5.3,77,1.0,582,1.4,22,4.8,90.5,95,24.8,11.5,1.0,113,2.2,17.3,9.5,2.1,4,98,38,8.9,600,13.0,620,4.2,8.9,3.3,1211,2016,38,43.7,22.6,57.1,"11302",8.7
23.9,293,6819,5.0,301,10.1,3842,22.3,62.0,700,541,10.2,52.8,0.1,161,6.5,666,59.3,16.9,8.0,581,1.5,19.2,32.3,4.2,26.4,251,8.0,200,436,0.5,0.1,13.6,43.8,27.0,6.0,491,"Wagga Wagga",6.0,3.1,3.4,762,1.4,3954,5.3,276,4.4,90.0,356,19.5,6.2,1.2,494,2.7,12.3,7.7,1.2,100,520,380,11.7,3668,17.2,4228,2.0,9.3,5.1,7513,2016,274,36.7,28.6,52.7,"11303",4.8
5.6,147,12340,5.7,191,6.2,6191,14.7,37.6,490,744,13.6,82.9,0.3,735,6.5,329,61.2,11.8,2.8,550,1.8,9.9,36.7,3.8,44.1,1235,4.3,597,1272,0.5,0.3,14.1,25.8,23.3,0.9,1879,"Shoalhaven",5.2,2.7,2.9,446,0.8,4343,1.1,154,2.7,95.6,1580,27.0,9.7,1.7,1102,1.7,18.2,11.1,2.0,56,1007,209,14.8,6537,6.3,4646,1.6,9.9,7.9,12732,2016,303,60.4,24.5,71.3,"11401",5.3
7.5,89,7322,4.6,147,8.4,3599,19.2,48.6,305,495,17.0,80.5,0.3,383,4.2,207,57.4,16.7,3.2,394,2.1,9.2,33.8,4.4,32.7,600,6.7,323,715,0.6,0.7,14.1,29.9,23.7,0.6,1101,"Southern Highlands",3.9,2.5,1.6,291,0.9,3408,3.3,275,4.6,96.4,833,29.6,5.7,1.5,663,4.0,14.9,11.1,1.6,35,609,117,11.3,3994,8.1,3557,0.3,11.8,7.7,7595,2016,149,49.8,26.1,68.4,"11402",4.4
11.6,1245,52373,2.0,1805,13.9,26931,26.3,67.1,5423,5384,18.2,72.4,0.1,1029,5.8,2420,46.1,28.1,9.3,5520,2.3,4.2,25.3,3.0,21.6,1596,14.6,1019,4565,0.4,0.2,8.0,28.2,35.4,4.1,3844,"Baulkham Hills",2.4,7.3,1.3,4071,2.7,33132,10.3,2240,10.3,90.1,2397,25.1,2.6,1.8,4943,7.0,6.5,15.6,0.7,455,5630,2290,6.6,28949,13.6,35161,0.6,10.3,7.3,55880,2016,2029,32.1,18.4,70.5,"11501",3.9
6.3,79,5349,2.8,173,11.6,2767,23.3,61.0,273,557,25.8,81.2,0.2,215,3.9,162,61.1,21.4,6.2,430,1.5,6.2,31.4,2.8,25.8,289,8.1,200,485,0.4,0.2,10.9,23.9,25.8,2.0,560,"Dural - Wisemans Ferry",2.6,4.5,1.5,207,1.7,3136,2.5,182,7.3,93.4,408,24.4,3.8,1.8,579,8.5,12.3,14.2,0.8,15,636,152,5.9,2848,9.9,3262,0.5,11.0,6.8,5616,2016,126,38.1,20.6,74.6,"11502",3.3
3.3,16,2731,3.4,36,8.7,1372,26.0,59.8,122,278,18.3,87.2,0.3,88,2.8,65,64.5,13.6,2.3,166,1.7,10.2,35.8,6.2,28.4,176,4.6,61,292,0.5,0.1,14.1,29.3,19.7,0.6,347,"Hawkesbury",3.2,1.4,1.5,82,1.0,1587,0.6,46,5.3,97.3,279,27.9,4.6,1.4,343,4.5,20.9,15.2,1.0,5,329,53,8.4,1413,6.1,1633,0.4,12.3,6.4,2784,2016,46,39.1,22.7,69.1,"11503",3.1
10.6,194,8004,1.9,289,13.1,4190,29.3,70.7,867,942,18.8,73.1,null,124,4.6,380,56.8,24.7,6.1,950,1.9,4.9,30.3,4.9,19.7,224,10.1,101,589,0.4,0.1,8.9,28.0,29.4,6.5,518,"Rouse Hill - McGraths Hill",2.1,4.1,1.6,677,3.1,5400,8.1,356,10.7,93.5,337,17.8,2.5,1.6,738,5.5,9.7,16.8,0.6,56,882,326,6.4,4362,14.2,5659,0.4,10.8,8.2,8553,2016,259,28.7,19.3,70.4,"11504",3.3
16.0,1163,54301,2.8,1644,13.8,28689,25.0,63.4,6255,4337,8.6,62.6,0.1,1104,7.6,5169,48.0,21.0,10.8,4696,1.1,12.2,35.0,11.8,27.6,1535,8.8,1063,3804,0.7,null,11.7,33.7,20.9,8.0,3304,"Blacktown",2.8,3.5,1.6,6924,8.0,31807,19.1,2163,3.7,88.3,2254,10.2,4.0,2.2,4160,1.0,9.7,15.3,1.1,540,4283,3249,10.2,28961,18.6,34423,0.9,9.8,7.0,57650,2016,2616,35.5,25.5,64.7,"11601",2.9
11.8,791,34207,2.4,1135,14.1,17978,31.4,72.1,5024,3299,13.1,67.7,0.1,335,6.0,2400,42.7,27.0,6.6,4106,1.8,6.1,27.7,7.5,19.5,670,12.8,263,2187,0.4,0.1,9.5,28.0,30.2,8.0,1750,"Blacktown - North",2.8,4.4,2.1,4145,10.2,23186,19.3,1568,8.9,92.2,986,11.1,3.0,1.7,2517,3.2,8.1,16.6,0.6,274,3163,1791,8.3,18426,17.7,24679,1.2,9.8,7.1,36406,2016,1493,27.3,20.2,69.9,"11602",3.9
13.2,1012,40620,3.0,1502,13.2,21056,23.7,61.2,4474,3656,6.2,67.0,0.1,666,8.4,3458,61.0,17.8,10.1,3918,0.9,13.6,39.6,16.6,28.9,973,5.1,635,2820,0.9,null,11.8,31.3,16.2,15.3,2261,"Mount Druitt",2.8,2.0,1.7,4529,2.7,22783,9.5,1991,2.5,88.9,1467,6.4,4.4,2.2,3496,0.5,11.3,15.3,1.1,397,3799,2472,11.3,22481,17.0,24873,1.0,9.0,6.8,43535,2016,2090,37.7,27.3,67.0,"11603",2.8
20.7,288,19899,2.8,261,13.7,10040,24.0,63.0,1976,1416,11.8,61.5,0.1,504,6.3,2362,48.4,22.0,12.9,1635,1.2,10.8,35.7,7.5,27.1,769,10.8,402,1204,0.6,1.7,12.3,41.9,23.3,9.5,1113,"Botany",3.5,7.5,1.4,2439,0.6,11738,3.9,774,5.2,86.4,911,24.6,4.1,1.9,1252,2.3,8.9,13.1,1.3,162,1480,1674,10.3,10573,14.3,12530,0.7,9.0,9.1,20610,2016,792,35.8,24.3,56.7,"11701",3.4
16.0,148,17656,3.0,196,8.6,8797,24.2,63.3,1741,1348,12.9,67.9,0.2,669,6.1,1832,43.1,22.9,18.9,1555,2.1,9.9,35.0,4.0,30.5,820,10.6,576,1134,0.5,0.4,11.5,33.8,31.6,4.0,1081,"Marrickville - Sydenham - Petersham",4.6,10.4,2.1,2132,0.7,10486,3.2,278,6.9,80.4,911,34.3,4.2,1.6,1264,3.7,7.8,11.7,1.0,77,1302,1008,9.7,9282,11.5,11172,0.6,8.1,6.9,18081,2016,686,35.7,22.5,64.1,"11702",3.3
40.4,509,99580,1.8,448,16.9,50265,24.5,68.4,10465,4723,15.5,38.5,0.2,1009,7.5,20198,27.5,32.9,11.7,6428,1.7,7.8,27.7,1.7,21.5,1416,15.4,788,3094,0.9,1.0,9.4,63.5,33.8,2.4,2814,"Sydney Inner City",4.8,13.2,1.5,17050,0.6,62969,2.6,4245,8.4,87.8,1871,48.2,2.9,1.9,3635,6.1,4.8,10.1,0.8,495,4317,17533,11.9,50763,16.2,68100,0.5,9.7,7.8,101031,2016,5131,30.8,19.9,35.0,"11703",3.9
23.0,807,42835,2.7,854,7.6,21275,29.1,73.1,4940,3319,21.6,59.1,0.2,1125,4.0,5185,35.6,34.3,3.0,3959,2.3,4.2,21.3,1.5,14.9,1432,14.6,1375,2190,0.5,18.0,7.1,39.9,38.2,0.8,2623,"Eastern Suburbs - North",3.1,2.5,1.9,6173,0.5,30072,0.9,1011,11.4,96.6,1947,36.4,3.3,1.7,2546,15.0,6.0,10.2,0.8,425,2930,2087,8.3,23648,14.8,31316,0.4,9.9,7.2,44924,2016,1244,26.2,18.7,58.2,"11801",4.7
30.1,818,55190,3.0,799,17.5,27775,25.1,60.1,5280,3668,15.4,51.6,0.2,1281,7.3,6998,41.0,27.7,8.3,4191,1.8,6.1,30.1,3.1,21.8,1755,14.0,1348,2661,0.8,4.1,9.7,48.7,35.5,3.2,2638,"Eastern Suburbs - South",4.1,5.4,2.2,6440,0.6,30767,2.0,2777,7.6,90.5,2066,38.2,3.9,1.7,2927,5.9,7.2,12.4,0.8,459,3394,7756,8.8,29484,14.2,33180,1.1,8.2,7.2,57257,2016,2413,39.1,18.5,49.0,"11802",4.9
11.9,941,63981,3.0,1254,13.8,32345,17.8,53.6,5742,6186,9.6,72.9,0.1,1736,8.9,4631,42.5,14.6,23.8,5857,0.9,12.7,45.5,11.0,36.9,2398,5.2,1619,5112,0.8,null,14.2,24.9,18.2,23.8,4223,"Bankstown",3.6,11.9,1.5,5702,1.1,31280,2.3,1824,2.8,75.5,3009,14.5,4.3,2.4,6316,1.1,9.4,13.1,1.2,518,6537,3101,10.8,34346,11.7,34324,0.7,8.7,8.0,66695,2016,3044,45.1,23.8,73.6,"11901",3.6
19.0,1178,64371,2.9,1287,15.1,34041,15.9,54.3,6059,5072,8.3,62.4,0.1,1932,9.7,6635,38.7,15.7,25.3,4994,0.9,16.0,44.8,11.4,37.2,2672,7.1,1596,4537,0.8,0.1,14.4,36.2,14.9,25.9,3761,"Canterbury",3.5,8.6,1.5,7259,0.9,31552,5.0,1946,1.9,73.8,3104,17.3,4.0,2.8,5224,0.8,7.5,10.9,1.2,714,5568,3990,11.9,33510,15.0,34926,0.9,8.1,9.4,67553,2016,3374,44.5,25.2,62.3,"11902",3.3
19.1,689,55741,2.2,889,16.9,27377,20.3,59.8,4633,4205,11.1,62.1,0.2,1487,8.1,6707,35.9,22.3,22.6,4012,1.2,10.9,37.4,6.2,29.5,2028,11.0,1184,4046,0.7,0.1,12.1,41.3,24.0,4.4,3228,"Hurstville",3.3,9.6,1.3,6189,0.5,30645,7.6,1841,4.1,76.9,2412,37.8,3.2,2.3,4651,2.1,6.9,13.6,0.8,397,4955,4172,10.4,30350,15.6,33356,0.5,9.2,9.5,57721,2016,2711,39.3,24.3,57.3,"11903",3.8
21.3,748,62918,2.6,812,13.1,31785,22.2,63.0,5707,4240,10.3,59.7,0.1,1904,7.2,8321,44.1,22.7,16.1,4299,1.2,13.9,36.3,6.8,29.5,2451,10.1,1489,4062,0.7,0.2,12.1,40.4,22.4,9.4,3816,"Kogarah - Rockdale",3.7,7.5,1.7,8391,0.7,36782,10.1,1568,4.1,83.1,2902,23.9,3.9,2.0,4457,1.6,7.9,12.5,1.0,489,4626,4679,10.8,33183,15.3,39617,0.7,9.5,9.2,64969,2016,2835,36.0,26.1,57.9,"11904",3.8
19.6,460,32275,2.2,466,15.0,15763,24.8,61.6,3191,2147,18.3,61.4,0.1,1065,6.4,3904,45.3,26.7,14.3,2444,1.8,4.9,30.1,2.7,23.1,1311,14.8,1016,2003,0.8,0.2,8.6,41.8,34.9,2.9,1912,"Canada Bay",3.2,6.4,1.6,4275,0.9,18621,5.1,737,8.3,85.2,1478,35.3,3.0,2.0,2112,6.3,6.5,14.0,0.7,344,2225,2452,6.5,17781,15.8,19887,0.6,8.7,8.2,33545,2016,1266,37.7,19.4,56.6,"12001",3.5
15.3,322,14873,2.3,253,7.1,7583,26.4,72.8,1942,1579,22.7,67.9,0.2,367,4.2,1038,42.6,30.8,5.1,1848,3.1,3.0,22.0,1.6,18.5,478,16.5,308,956,0.4,1.0,6.8,34.9,40.9,1.3,946,"Leichhardt",3.0,4.0,1.9,1649,0.7,10367,1.6,204,13.3,94.6,677,43.8,2.8,1.6,1012,15.9,6.8,11.5,0.7,206,1335,529,6.3,8068,13.8,10823,0.3,9.5,5.5,15653,2016,456,26.5,16.1,63.2,"12002",4.3
25.3,1003,73118,2.2,1052,15.7,36878,22.5,62.7,6377,4695,10.9,55.1,0.1,2154,7.7,10774,36.1,25.2,18.8,5031,1.6,10.6,33.6,4.4,27.6,2612,12.7,2082,4146,0.8,0.1,11.4,46.5,29.3,2.8,3682,"Strathfield - Burwood - Ashfield",3.7,9.0,1.4,9248,0.9,42336,15.5,2159,5.1,80.5,2748,31.8,3.3,2.3,4839,2.8,6.2,12.3,0.8,654,5398,7176,10.2,38958,15.9,45868,0.7,8.9,8.6,75830,2016,3532,36.4,23.3,52.1,"12003",3.4
22.1,1392,44440,1.8,1220,14.3,22191,25.8,67.5,5581,3831,18.2,58.7,0.1,970,5.7,4350,36.7,31.3,11.9,4604,2.3,4.2,23.5,1.7,18.8,1259,17.1,949,2599,0.6,1.1,6.9,42.7,40.1,2.0,2438,"Chatswood - Lane Cove",3.0,7.6,1.4,5903,1.0,28262,5.9,1550,10.4,87.7,1611,40.9,2.0,1.9,2887,10.1,4.3,12.1,0.5,796,3417,2471,7.4,25656,16.2,29986,0.4,8.9,7.5,47843,2016,1724,32.1,18.1,55.9,"12101",4.3
16.6,860,27902,2.0,888,13.3,14317,26.2,68.5,3573,2720,13.6,62.9,0.2,574,5.8,1787,41.1,28.8,10.5,3282,2.3,6.5,23.3,2.6,22.5,908,15.5,564,1932,0.4,0.5,9.2,37.0,37.9,3.2,1660,"Hornsby",2.6,5.8,1.4,3064,1.5,18012,9.7,1026,9.9,89.1,1136,33.2,2.5,1.3,2180,4.9,6.6,12.9,0.6,389,2404,1083,8.9,15725,18.0,19126,0.4,10.0,6.9,30034,2016,1114,30.9,20.8,61.7,"12102",4.5
14.0,1522,41917,1.9,2035,14.4,21607,23.6,65.2,3954,4766,22.7,68.7,0.1,1104,5.1,1814,42.5,31.2,8.5,4471,2.5,2.7,21.7,1.3,18.4,1484,17.6,1059,3025,0.5,4.1,4.9,30.6,40.1,1.4,2679,"Ku-ring-gai",2.8,5.6,1.6,3018,1.5,25931,3.5,2374,10.3,91.2,1925,36.5,2.2,1.9,3712,14.2,3.7,13.3,0.5,475,4698,1831,6.0,24351,14.5,27331,0.3,8.8,7.1,45956,2016,1400,34.3,16.7,67.8,"12103",4.6
22.6,929,31774,1.7,828,8.6,15755,29.7,75.4,4211,2827,22.8,58.9,0.2,548,4.2,3101,42.0,34.7,3.9,3354,2.9,2.6,17.6,1.0,13.4,815,18.8,575,1836,0.4,1.4,5.8,41.5,41.5,1.3,1864,"North Sydney - Mosman",2.4,5.0,1.7,4677,0.8,22960,4.4,746,13.9,95.8,1372,39.7,2.2,1.7,2196,16.2,4.2,11.9,0.5,444,2533,1135,6.4,18222,16.1,23962,0.3,9.8,6.4,33979,2016,1002,24.1,16.0,56.9,"12104",4.9
24.2,487,13246,2.2,468,8.1,6930,27.1,75.9,1817,1311,24.6,54.3,0.3,211,3.9,1313,44.5,34.4,2.0,1607,2.7,2.7,18.5,1.3,14.0,319,14.8,230,593,0.4,0.7,7.0,43.0,38.0,0.6,603,"Manly",2.6,2.3,1.9,1768,0.6,9660,0.7,385,12.8,97.4,504,45.4,2.6,1.8,842,18.5,5.6,10.1,0.9,183,1205,531,7.9,7452,18.8,10048,0.6,9.9,6.6,14386,2016,388,23.3,16.9,55.1,"12201",4.6
9.0,322,13172,3.4,444,8.3,6765,25.0,64.6,986,1358,21.6,75.8,0.3,429,3.3,435,51.9,23.1,1.9,1257,2.0,4.7,27.3,2.8,21.6,690,8.5,492,1129,0.4,0.6,11.3,27.6,28.8,0.5,1163,"Pittwater",3.4,2.4,2.5,615,1.0,8227,0.9,468,8.5,97.4,958,37.4,4.3,2.0,1306,10.9,11.6,12.8,1.3,97,1501,393,8.1,7275,11.9,8507,0.6,12.8,8.0,14039,2016,280,34.1,21.8,69.9,"12202",4.6
14.8,1087,41798,2.7,1230,8.6,21325,26.0,70.0,4464,4451,18.8,67.1,0.2,1115,3.8,2731,50.4,24.6,5.7,4705,2.0,7.1,27.7,3.8,21.7,1579,9.1,1202,2668,0.4,0.5,11.1,34.8,27.4,1.3,2520,"Warringah",2.8,4.5,1.9,3972,1.4,28161,2.5,1438,8.4,93.6,2090,34.8,3.6,1.5,3161,8.7,10.6,12.6,0.9,396,4111,1584,9.5,23181,15.3,29263,0.7,11.7,8.2,44510,2016,1102,29.0,23.5,63.3,"12203",3.9
7.7,134,9447,3.5,201,9.6,4770,29.3,66.2,818,1060,14.2,78.5,0.2,225,4.5,437,65.7,14.9,4.1,1005,1.5,7.7,37.5,9.0,24.8,356,5.1,224,799,0.3,0.2,13.0,27.8,21.1,4.3,776,"Camden",3.4,3.8,2.1,711,1.4,5974,3.1,285,7.0,95.1,510,17.7,4.4,1.7,926,3.0,17.0,15.6,1.0,65,1001,301,10.1,5077,10.4,6258,0.8,11.2,7.7,9846,2016,284,32.7,22.3,70.0,"12301",3.3
15.9,674,30141,4.7,953,10.3,15816,16.7,49.2,2009,1955,10.9,65.8,0.1,1488,8.4,2212,56.1,14.0,9.2,1875,1.6,13.5,38.0,7.3,39.3,1880,6.3,1423,2320,0.7,0.1,12.9,37.0,23.2,6.1,2868,"Geelong",4.3,3.6,2.5,2397,2.3,13589,4.2,1243,3.4,89.3,2195,22.5,7.1,1.6,2371,1.9,13.6,10.1,1.4,311,2240,1666,12.7,16272,13.9,14840,1.6,8.7,7.8,32082,2016,1251,49.4,23.1,60.5,"20302",4.5
11.3,997,46757,2.6,1402,12.7,24059,23.5,61.9,5026,4431,8.1,71.2,0.1,849,8.1,3282,52.4,16.5,8.8,4436,1.1,12.4,38.1,13.0,29.6,1394,7.1,582,3595,0.6,null,12.7,30.3,18.8,14.2,3234,"Campbelltown (NSW)",2.8,5.7,1.6,4988,2.2,26592,10.6,1753,3.2,90.3,2131,10.9,4.4,2.0,4088,1.1,12.7,14.4,1.1,404,4650,2331,11.3,25500,14.7,28931,0.8,9.3,7.2,49558,2016,2339,37.0,26.7,68.0,"12302",3.4
5.4,36,4781,4.7,63,9.4,2342,22.0,55.0,272,474,16.2,84.8,0.1,190,4.7,143,70.1,9.6,3.1,314,1.4,8.9,38.1,8.8,32.4,306,4.1,157,550,0.4,0.2,16.2,29.8,17.8,1.6,585,"Wollondilly",4.8,2.1,1.2,232,0.6,2505,0.9,57,5.2,96.4,381,20.4,7.8,1.1,494,3.1,20.8,14.9,2.1,25,523,95,8.7,2564,5.1,2629,0.5,10.7,6.8,4903,2016,124,42.9,22.7,69.0,"12303",3.8
6.1,143,12509,3.7,197,7.3,6095,22.9,54.9,693,1141,13.8,85.3,0.4,524,4.8,268,50.7,19.1,1.9,895,3.0,7.0,28.0,3.5,32.1,745,9.4,483,1385,0.3,0.5,11.2,27.2,32.1,0.7,1632,"Blue Mountains",3.1,3.4,2.1,430,0.9,6536,1.1,257,6.3,97.8,1166,37.0,4.9,1.6,1324,3.0,14.7,13.4,0.8,45,1280,282,11.8,6802,5.6,6868,0.3,13.2,5.6,12899,2016,332,44.3,24.2,70.7,"12401",4.7
null,null,3,null,null,null,3,null,null,null,null,null,100.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Blue Mountains - South",null,null,null,null,null,null,null,null,null,100.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2016,null,100.0,null,100.0,"12402",null
